City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Half Moon Bay,US,2021-01-18 20:36:59,37.4636,-122.4286,73.4,16,1,10.36
68,Heihe,CN,2021-01-18 20:37:07,50.2441,127.4902,-20.2,57,0,4.47
69,Thompson,CA,2021-01-18 20:37:07,55.7435,-97.8558,-5.8,77,90,2.15
70,Araouane,ML,2021-01-18 20:37:07,18.9048,-3.5265,66.36,22,33,9.15
71,Byron Bay,AU,2021-01-18 20:37:07,-28.65,153.6167,68.0,88,92,3.44
72,Vanavara,RU,2021-01-18 20:37:07,60.34,102.2797,-15.43,89,100,6.76
73,Casino,AU,2021-01-18 20:37:07,-28.8667,153.05,68.0,94,100,6.91
74,Kapaa,US,2021-01-18 20:37:08,22.0752,-159.319,69.8,73,90,25.32
75,Cayenne,GF,2021-01-18 20:37:08,4.9333,-52.3333,82.4,74,75,13.8
76,Guerrero Negro,MX,2021-01-18 20:37:08,27.9769,-114.0611,77.14,19,0,4.32
77,Port Alfred,ZA,2021-01-18 20:37:08,-33.5906,26.891,69.01,90,29,5.01
78,Paamiut,GL,2021-01-18 20:37:08,61.994,-49.6678,28.38,85,100,5.86
79,Dakar,SN,2021-01-18 20:32:47,14.6937,-17.4441,66.2,82,100,11.5
80,Tuktoyaktuk,CA,2021-01-18 20:37:09,69.4541,-133.0374,-5.8,84,20,10.36
81,Domanivka,UA,2021-01-18 20:37:09,47.6319,30.9885,10.51,92,98,5.75
82,Biltine,TD,2021-01-18 20:37:09,14.5333,20.9167,68.54,23,0,15.48
83,Kruisfontein,ZA,2021-01-18 20:37:09,-34.0033,24.7314,69.01,79,0,4.0
84,Torrijos,ES,2021-01-18 20:37:09,39.9819,-4.2835,37.99,75,0,6.04
85,Hilo,US,2021-01-18 20:32:57,19.7297,-155.09,78.8,57,75,5.75
86,East London,ZA,2021-01-18 20:37:10,-33.0153,27.9116,70.32,78,55,20.78
87,Ongandjera,NA,2021-01-18 20:37:10,-17.8833,15.0667,79.43,53,100,3.44
88,Ponta Do Sol,PT,2021-01-18 20:37:10,32.6667,-17.1,55.99,64,76,1.99
89,Mabaruma,GY,2021-01-18 20:37:10,8.2,-59.7833,79.41,78,100,5.91
90,Powassan,CA,2021-01-18 20:37:11,46.0334,-79.3496,12.0,72,75,3.44
91,Meulaboh,ID,2021-01-18 20:37:11,4.1363,96.1285,76.55,83,35,4.32
92,Walvis Bay,NA,2021-01-18 20:37:11,-22.9575,14.5053,68.0,77,9,13.8
93,Sitka,US,2021-01-18 20:37:11,57.0531,-135.33,44.6,76,90,20.71
94,Lebedinyy,RU,2021-01-18 20:37:11,58.5167,125.5167,-34.53,74,18,4.94
95,Zaranj,AF,2021-01-18 20:37:11,30.9667,61.8833,46.4,36,0,6.91
96,Castro,BR,2021-01-18 20:37:12,-24.7911,-50.0119,67.82,96,100,3.49
97,Jamestown,US,2021-01-18 20:36:38,42.097,-79.2353,30.99,93,90,12.66
98,Padang,ID,2021-01-18 20:37:12,-0.9492,100.3543,73.4,94,40,2.3
99,Hobyo,SO,2021-01-18 20:37:12,5.3505,48.5268,76.78,72,92,17.83
100,Ambilobe,MG,2021-01-18 20:37:12,-13.2,49.05,76.78,92,100,5.03
101,Fortuna,US,2021-01-18 20:37:12,40.5982,-124.1573,59.0,71,1,6.91
102,Quesnel,CA,2021-01-18 20:37:13,52.9999,-122.5029,32.0,86,20,2.04
103,Ayan,RU,2021-01-18 20:37:13,56.45,138.1667,-27.85,72,0,11.27
104,Portland,US,2021-01-18 20:37:13,45.5234,-122.6762,48.99,71,20,4.61
