City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Bengkulu,ID,83.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
202,Ballina,AU,81.0,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
203,Jacqueville,CI,78.8,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
204,Saint-Georges,GD,78.8,light rain,12.0564,-61.7485,Siesta Hotel
211,Nelson Bay,AU,89.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
215,Nacala,MZ,76.1,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
216,Rio Grande,BR,72.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
219,Angoche,MZ,76.3,light rain,-16.2325,39.9086,Guest House HESADA
222,Launceston,AU,75.2,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
230,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,Lindsey Hôtel
238,Viedma,AR,88.0,clear sky,-40.8135,-62.9967,Hotel Cristal
244,Cidreira,BR,74.25,overcast clouds,-30.1811,-50.2056,Hotel Castelo
246,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
249,Cockburn Town,TC,75.38,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
251,Sao Filipe,CV,72.84,overcast clouds,14.8961,-24.4956,Tortuga B&B
254,Samarai,PG,85.69,moderate rain,-10.6167,150.6667,Nuli Sapi
256,Mar Del Plata,AR,71.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
257,Carutapera,BR,78.73,overcast clouds,-1.195,-46.02,Lidera
258,Gizo,SB,85.33,few clouds,-8.103,156.8419,Imagination Island
262,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
263,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
265,Marawi,PH,82.0,broken clouds,7.9986,124.2928,Derogongan Residence
267,Nhulunbuy,AU,87.8,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
268,Giporlos,PH,82.78,scattered clouds,11.12,125.4494,JR's Pension House
269,Itaqui,BR,74.01,clear sky,-29.1253,-56.5531,Biasi
271,Geraldton,AU,87.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
272,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
275,Caravelas,BR,74.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
281,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.1667,Hotel Cortez
282,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
283,Labuan,MY,82.4,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
296,Lakes Entrance,AU,79.0,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
302,Beloha,MG,78.33,light rain,-25.1667,45.05,
303,Port Blair,IN,79.47,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
304,Ixtapa,MX,75.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
305,Kavieng,PG,84.11,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
308,Sampit,ID,87.93,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
312,Yulin,CN,75.49,clear sky,22.6333,110.15,罗弟天海大厦
313,Paso De Carrasco,UY,72.0,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
316,Boyolangu,ID,85.37,overcast clouds,-8.1181,111.8935,Yos ega cv
321,Buchanan,LR,77.4,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
322,Mackay,AU,86.0,scattered clouds,-21.15,149.2,International Lodge Motel
326,Sassandra,CI,76.95,few clouds,4.95,-6.0833,la terrasse
327,Howard Springs,AU,89.01,moderate rain,-12.497,131.047,buffalo beach hostel
329,Yenagoa,NG,75.25,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
332,Willowmore,ZA,72.12,broken clouds,-33.2926,23.4895,Jumper's Place
