City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bubaque,GW,11.2833,-15.8333,77.76,64,100,8.25,overcast clouds
80,Tumut,AU,-35.3,148.2167,91.4,19,0,9.22,clear sky
81,Malanje,AO,-9.5402,16.341,61.54,94,100,3.58,overcast clouds
82,Mehamn,NO,71.0357,27.8492,21.72,92,100,23.96,overcast clouds
83,Loandjili,CG,-4.7561,11.8578,78.78,86,100,5.44,light rain
84,Broken Hill,AU,-31.95,141.4333,93.2,9,0,9.22,clear sky
85,San Andres,CO,12.5847,-81.7006,80.6,74,20,13.8,few clouds
86,Morehead,US,37.2711,-87.1764,37.0,93,1,5.77,clear sky
87,Luganville,VU,-15.5333,167.1667,85.62,73,71,1.01,broken clouds
88,Jamestown,US,42.097,-79.2353,35.01,69,90,20.71,light snow
89,Tura,IN,25.5198,90.2201,67.35,46,2,1.52,clear sky
90,Mount Gambier,AU,-37.8333,140.7667,77.0,44,69,13.8,broken clouds
91,Butaritari,KI,3.0707,172.7902,79.86,81,54,13.98,moderate rain
92,Zhovti Vody,UA,48.3473,33.5003,35.6,100,90,11.18,fog
93,Bulalacao,PH,12.3254,121.3435,81.66,77,100,8.66,light rain
94,Taksimo,RU,56.3444,114.8794,-18.81,80,60,0.67,broken clouds
95,Havoysund,NO,70.9963,24.6622,12.2,73,0,20.71,clear sky
96,Ceres,US,37.5949,-120.9577,55.0,40,1,3.24,clear sky
97,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,14,4.99,few clouds
98,Siocon,PH,7.7061,122.1353,80.58,80,98,4.29,overcast clouds
99,Bacolod,PH,10.6667,122.95,81.46,77,96,4.74,overcast clouds
100,Victoria,HK,22.2855,114.1577,71.01,77,90,1.01,overcast clouds
101,Rio Gallegos,AR,-51.6226,-69.2181,51.8,46,0,8.05,clear sky
102,Ahipara,NZ,-35.1667,173.1667,67.05,57,19,10.54,few clouds
103,Borogontsy,RU,62.6683,131.1683,-47.4,76,72,2.35,broken clouds
104,Bartlesville,US,36.7473,-95.9808,44.01,93,1,4.56,clear sky
105,Goderich,CA,43.7501,-81.7165,35.6,69,100,18.41,overcast clouds
106,Chicama,PE,-7.8447,-79.1469,70.83,77,89,5.12,overcast clouds
107,Port Lincoln,AU,-34.7333,135.8667,75.43,38,0,10.63,clear sky
